"Process_ID","N","SEED","ATE","SE","SEB","Lower","Upper","Cover","Time_Point","Time_CI"
2514,1000,839,-0.165961211325896,0.0698323155154354,0.0676793153122346,-0.302832549736149,-0.0290898729156428,0,105.818418502808,7.53402709960938e-05
2515,2000,839,-0.037519935115638,0.0501266272961055,0.0485620776996831,-0.135768124616005,0.0607282543847288,1,199.511199235916,7.31945037841797e-05
2516,4000,839,0.00612993447484756,0.0327915502835013,0.0335759703150893,-0.0581415040808149,0.07040137303051,1,701.624846696854,0.000124454498291016
2517,1000,840,0.00705596640381748,0.0669451674144447,0.070177572178315,-0.124156561728494,0.138268494536129,1,214.955785036087,9.1552734375e-05
2518,2000,840,0.0706568030521661,0.0472528194726948,0.0485437967095388,-0.0219587231143158,0.163272329218648,1,213.287778139114,5.340576171875e-05
2519,4000,840,0.00486673372378044,0.0331562600979403,0.0336994188285786,-0.0601195360681825,0.0698530035157434,1,948.223367929459,0.000128746032714844
251,4000,84,-0.00352952469184293,0.0332586316954186,0.0332887434415156,-0.0687164428148633,0.0616573934311774,1,502.448021411896,6.81877136230469e-05
2520,1000,841,-0.0450499326481287,0.0630666268863351,0.0626321500021654,-0.168660521345346,0.0785606560490882,1,162.273379564285,5.00679016113281e-05
2521,2000,841,-0.0368899552175835,0.0461626786941857,0.0455751622924965,-0.127368805458188,0.0535888950230206,1,385.15821480751,9.65595245361328e-05
2523,1000,842,0.0600392130469108,0.0718717629728117,0.07278007683262,-0.0808294423798002,0.200907868473622,1,135.271317005157,4.29153442382812e-05
2524,2000,842,-0.0436627442347682,0.0482232457943241,0.047989463569961,-0.138180305991643,0.0508548175221071,1,323.273274421692,8.72611999511719e-05
2525,4000,842,0.000776304646876059,0.0329292314777069,0.0332624351665109,-0.0637649890494295,0.0653175983431817,1,608.705332040787,6.19888305664062e-05
2526,1000,843,0.0251741368541942,0.0694837584435493,0.0706910153357525,-0.111014029695163,0.161362303403551,1,146.545638799667,8.98838043212891e-05
2527,2000,843,-0.0257704352703877,0.0478803402848557,0.0469583764101248,-0.119615902228705,0.0680750316879294,1,217.952889919281,6.31809234619141e-05
2528,4000,843,0.0155098375577657,0.0333332575273566,0.0336808213870479,-0.0498233471958532,0.0808430223113847,1,472.708028078079,6.81877136230469e-05
2529,1000,844,0.0605683576618639,0.0659926080065806,0.0667237288174214,-0.068777154031034,0.189913869354762,1,191.901979207993,8.58306884765625e-05
252,1000,85,-0.0260146802535967,0.0655608970665868,0.065891853073158,-0.154514038504107,0.102484677996913,1,169.785243272781,6.03199005126953e-05
2530,2000,844,0.030356326384966,0.0463319779535824,0.0468224828479165,-0.0604543504040556,0.121167003173988,1,375.787687063217,0.000105381011962891
2531,4000,844,0.0268205338797517,0.032469157162067,0.0329444086534443,-0.0368190141578997,0.0904600819174032,1,505.557532787323,6.36577606201172e-05
2532,1000,845,-0.00752339371385037,0.0685219371838236,0.068292831338257,-0.141826390594145,0.126779603166444,1,106.02109003067,6.03199005126953e-05
2533,2000,845,0.0488883973504414,0.0477517831665035,0.048332153206476,-0.0447050976559055,0.142481892356788,1,450.146669864655,0.000102043151855469
2534,4000,845,-0.00158639640690336,0.0327375797216751,0.033020481301418,-0.0657520526613866,0.0625792598475799,1,474.620828390121,8.82148742675781e-05
2535,1000,846,-0.0301414865268482,0.0717089228292699,0.0725793657760247,-0.170690975272217,0.110408002218521,1,148.165061235428,8.36849212646484e-05
2536,2000,846,0.0328607364119092,0.0481387212131202,0.048303509825009,-0.0614911571658064,0.127212629989625,1,199.889393806458,4.79221343994141e-05
2537,4000,846,0.00891788297088317,0.0332066255133898,0.0337707419964792,-0.0561671030353609,0.0740028689771272,1,511.081571340561,8.34465026855469e-05
2538,1000,847,0.0829250419133074,0.0676821270687094,0.0680779943517339,-0.0497319271413631,0.215582010967978,1,134.244717121124,4.33921813964844e-05
2539,2000,847,0.0332351793421636,0.0467133324369282,0.047594000606483,-0.0583229522342157,0.124793310918543,1,217.489803314209,5.07831573486328e-05
253,2000,85,-0.0526872652855689,0.0464504986287614,0.0474113617716289,-0.143730242597941,0.0383557120268035,1,219.331770181656,4.76837158203125e-05
2540,4000,847,-0.0134509288328351,0.0325993039356601,0.0330064140304715,-0.0773455645467288,0.0504437068810586,1,710.155968427658,0.000105381011962891
2541,1000,848,0.0291731934543632,0.0734582395802979,0.068287751994048,-0.114804956123021,0.173151343031747,1,110.273163080215,5.84125518798828e-05
2542,2000,848,0.00720953426118302,0.045990976373262,0.0489632566320012,-0.0829327794304104,0.0973518479527764,1,271.510774374008,4.81605529785156e-05
